iter	Passed	Remaining
0	1	773
1	2	728
2	4	695
3	5	669
4	6	654
5	7	652
6	9	671
7	10	667
8	12	678
9	13	682
10	15	675
11	16	671
12	17	669
13	19	668
14	21	679
15	22	681
16	23	677
17	25	680
18	27	690
19	28	692
20	30	693
21	32	697
22	33	695
23	34	692
24	36	691
25	37	689
26	39	687
27	40	686
28	42	682
29	43	681
30	45	683
31	46	681
32	48	682
33	49	679
34	50	676
35	52	674
36	53	674
37	55	675
38	57	676
39	58	674
40	60	675
41	61	671
42	62	666
43	64	666
44	65	665
45	67	661
46	68	660
47	70	665
48	72	664
49	73	661
50	74	657
51	75	652
52	76	648
53	78	645
54	79	643
55	80	639
56	82	637
57	83	633
58	84	629
59	85	626
60	86	621
61	87	618
62	88	614
63	89	611
64	90	608
65	92	604
66	93	601
67	94	599
68	95	596
69	96	595
70	98	593
71	99	590
72	100	588
73	101	586
74	103	584
75	104	581
76	105	580
77	106	577
78	107	574
79	108	571
80	110	569
81	111	567
82	112	565
83	113	563
84	114	561
85	116	559
86	117	556
87	118	554
88	119	552
89	120	551
90	122	548
91	123	546
92	124	545
93	126	545
94	127	543
95	128	542
96	130	541
97	131	540
98	132	538
99	134	536
100	135	534
101	136	533
102	137	531
103	139	530
104	140	527
105	141	525
106	142	524
107	143	522
108	145	520
109	146	519
110	147	517
111	148	515
112	149	513
113	151	511
114	152	509
115	153	508
116	155	508
117	156	507
118	158	506
119	159	505
120	160	504
121	162	502
122	163	500
123	164	499
124	165	497
125	167	496
126	168	494
127	169	493
128	171	492
129	172	491
130	174	490
131	175	488
132	176	487
133	178	486
134	179	484
135	180	483
136	182	482
137	183	481
138	184	479
139	185	477
140	187	476
141	188	474
142	189	473
143	190	471
144	192	470
145	193	469
146	195	468
147	196	466
148	197	464
149	198	463
150	199	461
151	201	460
152	202	458
153	203	457
154	204	456
155	206	454
156	207	453
157	208	452
158	210	451
159	211	449
160	212	447
161	213	446
162	214	444
163	216	442
164	217	440
165	218	439
166	219	438
167	221	437
168	222	435
169	223	433
170	224	432
171	225	430
172	226	428
173	227	426
174	228	425
175	230	423
176	231	422
177	232	421
178	234	420
179	235	418
180	236	417
181	238	415
182	239	414
183	240	412
184	241	411
185	242	409
186	243	407
187	244	406
188	246	404
189	247	403
190	248	402
191	249	401
192	251	399
193	252	397
194	253	396
195	254	394
196	255	393
197	257	392
198	258	390
199	259	389
200	261	388
201	262	387
202	264	386
203	265	384
204	266	383
205	267	382
206	269	381
207	270	379
208	271	378
209	272	376
210	273	375
211	275	373
212	276	372
213	277	370
214	278	369
215	279	368
216	281	366
217	282	365
218	283	363
219	284	362
220	286	361
221	287	360
222	288	358
223	290	357
224	291	356
225	293	355
226	294	354
227	296	353
228	297	352
229	299	351
230	300	350
231	302	349
232	303	348
233	305	346
234	306	345
235	308	345
236	310	344
237	312	344
238	314	343
239	317	343
240	319	343
241	321	342
242	322	341
243	324	340
244	325	338
245	327	337
246	329	337
247	330	335
248	332	335
249	334	334
250	335	333
251	337	332
252	338	330
253	340	329
254	343	329
255	344	328
256	345	327
257	347	325
258	348	324
259	349	322
260	351	321
261	352	320
262	353	318
263	355	317
264	356	316
265	358	314
266	359	313
267	360	312
268	361	310
269	363	309
270	364	307
271	365	306
272	366	305
273	368	303
274	369	302
275	371	301
276	372	299
277	373	298
278	375	297
279	376	295
280	377	294
281	379	293
282	380	291
283	381	290
284	383	289
285	385	288
286	386	286
287	387	285
288	388	283
289	390	282
290	391	281
291	392	279
292	394	278
293	396	277
294	397	276
295	399	275
296	400	273
297	401	272
298	403	271
299	404	269
300	406	268
301	407	266
302	408	265
303	410	264
304	412	263
305	413	261
306	414	260
307	415	259
308	416	257
309	417	256
310	418	254
311	420	253
312	421	251
313	422	250
314	424	249
315	425	247
316	426	246
317	427	244
318	428	243
319	429	241
320	430	240
321	432	238
322	433	237
323	434	235
324	435	234
325	437	233
326	438	232
327	440	230
328	441	229
329	442	228
330	443	226
331	445	225
332	446	223
333	447	222
334	448	220
335	449	219
336	451	218
337	452	216
338	453	215
339	455	214
340	456	212
341	457	211
342	459	210
343	460	208
344	461	207
345	463	206
346	465	205
347	467	204
348	468	202
349	470	201
350	472	200
351	474	199
352	475	198
353	477	196
354	479	195
355	480	194
356	481	193
357	483	191
358	484	190
359	485	188
360	487	187
361	488	186
362	490	185
363	492	183
364	493	182
365	495	181
366	496	179
367	497	178
368	499	177
369	500	175
370	501	174
371	502	172
372	503	171
373	505	170
374	506	168
375	507	167
376	508	166
377	510	164
378	511	163
379	512	161
380	514	160
381	515	159
382	517	157
383	518	156
384	520	155
385	521	154
386	522	152
387	524	151
388	525	149
389	526	148
390	528	147
391	529	145
392	531	144
393	532	143
394	534	142
395	535	140
396	537	139
397	538	138
398	539	136
399	541	135
400	542	133
401	544	132
402	545	131
403	547	130
404	548	128
405	550	127
406	551	126
407	552	124
408	554	123
409	555	121
410	556	120
411	558	119
412	559	117
413	560	116
414	561	115
415	563	113
416	564	112
417	565	110
418	566	109
419	568	108
420	569	106
421	570	105
422	572	104
423	573	102
424	575	101
425	576	100
426	578	98
427	579	97
428	580	96
429	581	94
430	583	93
431	584	92
432	585	90
433	587	89
434	589	88
435	590	86
436	591	85
437	592	83
438	594	82
439	595	81
440	597	79
441	598	78
442	599	77
443	601	75
444	602	74
445	604	73
446	605	71
447	606	70
448	607	69
449	609	67
450	611	66
451	612	65
452	614	63
453	616	62
454	617	61
455	618	59
456	620	58
457	621	56
458	622	55
459	623	54
460	624	52
461	626	51
462	627	50
463	628	48
464	630	47
465	631	46
466	632	44
467	633	43
468	635	41
469	636	40
470	637	39
471	638	37
472	640	36
473	641	35
474	642	33
475	644	32
476	645	31
477	646	29
478	647	28
479	649	27
480	650	25
481	652	24
482	653	22
483	654	21
484	656	20
485	657	18
486	659	17
487	660	16
488	661	14
489	662	13
490	663	12
491	664	10
492	665	9
493	667	8
494	668	6
495	669	5
496	671	4
497	672	2
498	673	1
499	675	0
